first_name,last_name,rating
Sam,Worthington,7.5
Zoe,Saldana,5.5
Sigourney,Weaver,9.7
Leonardo,"Di Caprio",3.5
Kate,Winslet,1.5
Billy,Zane,7.5
Mark,Hamill,6.5
Harrison,Ford,7.5
Carrie,Fisher,7.5
Sam,Neill,2.5
Laura,Dern,7.5
Jeff,Goldblum,4.5
Daniel,Radcliffe,7.5
Emma,Watson,2.5
Rupert,Grint,6.2
Shia,LaBeouf,9.5
Rosie,Huntington-Whiteley,1.5
Matthew,Broderick,6.1
James,"Earl Jones",7.5
Jeremy,Irons,7.2
Johnny,Depp,1.5
Helena,"Bonham Carter",7.5
Mia,Wasikowska,7.5
Albert,Brooks,2.5
Ellen,DeGeneres,2.6
Alexander,Gould,7.5
Tom,Hanks,4.4
Tim,Allen,7.5
Sean,Penn,9.2
Adam,Sandler,3.1
Renee,Zellweger,9.5
Emilia,Clarke,8.2
Peter,Dinklage,2.3
Kit,Harington,2.4
Jared,Padalecki,2.8
Jensen,Ackles,5.5
Jim,Beaver,2.6
Andrew,Lincoln,3.3
Jon,Bernthal,2.9
Sarah,Callies,2.4
Jim,Caviezel,1.9
Taraji,Henson,5.9
Kevin,Chapman,2.9
Johnny,Galecki,2.3
Jim,Parsons,6.9
Kaley,Cuoco,2.3
Bryan,Cranston,7.9
Aaron,Paul,5.9
Anna,Gunn,3.1
